"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","060830011","1","0.032","ppm","30","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/02/2024","AQS","060830011","1","0.028","ppm","26","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/03/2024","AQS","060830011","1","0.04","ppm","37","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/04/2024","AQS","060830011","1","0.035","ppm","32","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/05/2024","AQS","060830011","1","0.033","ppm","31","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/06/2024","AQS","060830011","1","0.037","ppm","34","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/07/2024","AQS","060830011","1","0.036","ppm","33","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/08/2024","AQS","060830011","1","0.035","ppm","32","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/09/2024","AQS","060830011","1","0.032","ppm","30","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/10/2024","AQS","060830011","1","0.039","ppm","36","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/11/2024","AQS","060830011","1","0.039","ppm","36","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/12/2024","AQS","060830011","1","0.036","ppm","33","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/13/2024","AQS","060830011","1","0.036","ppm","33","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/14/2024","AQS","060830011","1","0.042","ppm","39","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/15/2024","AQS","060830011","1","0.036","ppm","33","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/16/2024","AQS","060830011","1","0.03","ppm","28","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/17/2024","AQS","060830011","1","0.028","ppm","26","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/18/2024","AQS","060830011","1","0.033","ppm","31","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/19/2024","AQS","060830011","1","0.034","ppm","31","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/20/2024","AQS","060830011","1","0.023","ppm","21","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/21/2024","AQS","060830011","1","0.034","ppm","31","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/22/2024","AQS","060830011","1","0.03","ppm","28","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/23/2024","AQS","060830011","1","0.034","ppm","31","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/24/2024","AQS","060830011","1","0.027","ppm","25","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/25/2024","AQS","060830011","1","0.027","ppm","25","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/26/2024","AQS","060830011","1","0.031","ppm","29","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/27/2024","AQS","060830011","1","0.035","ppm","32","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/28/2024","AQS","060830011","1","0.034","ppm","31","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/29/2024","AQS","060830011","1","0.035","ppm","32","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/30/2024","AQS","060830011","1","0.029","ppm","27","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
"01/31/2024","AQS","060830011","1","0.036","ppm","33","Santa Barbara","17","100.0000","44201","Ozone","087","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.4277749961254","-119.691217778642"
